path,pre_sha256,post_sha256,change_type,allowed_scope,status
.github/workflows/ci.yml,,59e28d8adb86676af0e03cb67d1302dc1e2a8e193184725de2ce09d8093d174d,ADDED,true,PASS
.gitignore,77c0b4d2cfc0d992a90079a24fd4206016e5d51870884ee764dd313363634e30,77c0b4d2cfc0d992a90079a24fd4206016e5d51870884ee764dd313363634e30,UNCHANGED,true,PASS
.pre-commit-config.yaml,2559f2143becd53a514a81fa741aace40b8c5612e8eb14be33c854ff03affd31,2559f2143becd53a514a81fa741aace40b8c5612e8eb14be33c854ff03affd31,UNCHANGED,true,PASS
CHANGELOG.md,483c074fa53dcd47caa2475d7864806d3e259cd15ddc4ba84c0a73154ab82feb,5603ae645c2685731452d9626eacf647771577da55aa62b51dc6c95ff0fcdd6b,MODIFIED,true,PASS
CITATION.cff,f7f0da308dfe3544a776ad2995c4f6ac8375d683b04475ccdd806715b6443c66,f7f0da308dfe3544a776ad2995c4f6ac8375d683b04475ccdd806715b6443c66,UNCHANGED,true,PASS
CONTRIBUTING.md,b303321dcab67e4c0a7a98e71864b417cfd99c15162392234e9dc672c52e932e,b303321dcab67e4c0a7a98e71864b417cfd99c15162392234e9dc672c52e932e,UNCHANGED,true,PASS
LICENSE_STATUS.md,ff27d4afaeaf076eaa2cec95dfa4afa172bba029e33fce50bf28d74ffc7e6b49,ff27d4afaeaf076eaa2cec95dfa4afa172bba029e33fce50bf28d74ffc7e6b49,UNCHANGED,true,PASS
MANIFEST.in,,db14f1a743bc343d513ce81a1e32be9c4b5dfaa4843d1e6e40de48b26a00e54b,ADDED,true,PASS
README.md,fd43df2011cf6ff83b502f4ca181a4a794192d6117200ae867d752ac75593fb6,f6405f4111e18ec3b5b5c69c07b57f4eba910ab9505745962586a5d0670a5322,MODIFIED,true,PASS
SECURITY.md,29fb531655cecd2a5a9fd159fedf91c3538a29f3642e9e2b3ecb411a4e9ce080,29fb531655cecd2a5a9fd159fedf91c3538a29f3642e9e2b3ecb411a4e9ce080,UNCHANGED,true,PASS
