path,file_type,tracked,generated,existing_spdx,expected_spdx,action,final_status
src/research_audit_kit/__init__.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/__main__.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/cli.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/constants.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/exceptions.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/governance/__init__.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/governance/claims.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/governance/decisions.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/governance/deviations.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/governance/gates.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/governance/negative_results.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/integrity/__init__.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/integrity/baseline.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/integrity/hashing.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/integrity/inventory.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/integrity/policy.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/integrity/verification.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/integrity/volatility.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/io/__init__.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/io/csv_io.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/io/json_io.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/io/yaml_io.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/optimization_audit/__init__.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/optimization_audit/contamination.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/optimization_audit/metrics.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/optimization_audit/pareto.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/optimization_audit/recommendation.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/reporting/__init__.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/reporting/machine_readable.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/reporting/markdown.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/reporting/summary.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/support/__init__.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/support/conditional.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/support/joint.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/support/marginal.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/support/missingness.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/support/report.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/support/taxonomy.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/validation/__init__.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/validation/determinism.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/validation/fold_local.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/validation/leakage.py,python,true,false,1,Apache-2.0,ADDED,PASS
src/research_audit_kit/validation/split_manifest.py,python,true,false,1,Apache-2.0,ADDED,PASS
